Am	I	not	more	to	you	than	ten	sons	?																															
O	O	O	O	O	O	O	O	O	O																															
Biography	in	French	:	Quand    	Israël	rêvait	.																																	
O	O	O	O	B	I	I	O																																	
Biografia	in	Francese	:	Quand    	Israël	 rêvait	.																																	
O	O	O	O	B	I	I	O																																	
He	said	,	 I      	should	have	given	myself	up	.																															
O	O	O	O	O	O	O	O	O	O																															
Poi	dirà	:	«	Mi	sono	offerta	intieramente	»	.																															
O	O	O	O	O	O	O	O	O	O																															
A	great	heart	,	an	encompassing	mind	,	perhaps	he	knows	remedies	that	are	hidden	to	us	.																							
O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	O	O																							
Un	gran	cuore	,	una	mente	lucida	,	forse	egli	conosce	i	rimedi	che	sono	a	noi	ignoti	»	.																					
O	O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O	O																					
Sun	died	in	March	,	leaving	his	southern	followers	divided	.																														
O	O	O	O	O	O	O	B	I	O	O																														
Sun	morì	a	marzo	,	lasciando	i	suoi	seguaci	meridionali	divisi	.																													
O	O	O	O	O	O	O	O	B	I	O	O																													
        On                                                                     	television	you	 're    	lucky	if	they	ever	repeat	anything	.																														
O	O	O	O	O	O	O	O	O	O	O																														
        In                                	televisione	sei	fortunato	se                          	ripetono	mai	qualcosa	.																																
O	O	O	O	O	O	O	O	O																																
As	a	result	,	few	citizens	of	Taiwan	ever	use	it	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Come	risultato	,	pochi	cittadini	di	Taiwan	qualche	volta	la	usano	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
However	,	they	are	owned	by	oligarchs	who	openly	support	the	government	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Tuttavia	,	sono	di	proprietà	di	oligarchi	che	sostengono	apertamente	il	governo	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Josh	is	the	only	student	who	refuses	to	sign	.																															
O	O	O	O	O	O	O	O	O	O																															
Josh	è	l'	unico	studente	che	si	rifiuta	di	firmare	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Released	in	1999	,	All	the	Way	.																																	
O	O	O	O	B	I	I	O																																	
Rilasciato	nel	1999	,	All	the	Way	.																																	
O	O	O	O	B	I	I	O																																	
I	am	the	victim	of	a	terrible	scientific	experiment	!																															
O	O	O	O	O	O	O	B	I	O																															
Io	sono	la	vittima	di	un	terribile	esperimento	scientifico	!																															
O	O	O	O	O	O	O	B	I	O																															
Calamity	Jane	also	visited	the	town	once	.																																	
B	I	O	O	O	O	O	O																																	
Calamity	Jane	ha	anche	visitato	la	città	una	volta	.																															
B	I	O	O	O	O	O	O	O	O																															
I	had	reached	the	end	of	my	resources	.																																
O	O	O	O	O	O	O	O	O																																
Avevo	raggiunto	la	fine	delle	mie	risorse	.																																	
O	O	O	O	O	O	O	O																																	
Very	slowly	(	as	at	first	)	.																																	
O	O	O	O	O	O	O	O																																	
Molto	lentamente	(	come	inizio	)	.																																		
O	O	O	O	O	O	O																																		
Do	not	write	letters	to	the	famous	artists	of	the	past	.																													
O	O	O	O	O	O	B	I	I	I	I	O																													
Non	scrivete	lettere	ad	artisti	famosi	del	passato	.																																
O	O	O	O	B	I	I	I	O																																
We	all	completely	underestimated	the	danger	.																																		
O	O	O	O	O	O	O																																		
Abbiamo	tutti	completamente	sottovalutato	il	pericolo	.																																		
O	O	O	O	O	O	O																																		
Without	Peyton	,	the	Colts	would	probably	be	in	L.A.	right	now	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Senza	Peyton	,	i	Colts	sarebbero	probabilmente	a	Los	Angeles	in	questo	momento	 .																											
O	O	O	O	O	O	O	O	B	I	O	O	O	O																											
        If   	you	are	detained	in	Chechnya	  ,  	you	face	a 	real	and	immediate	risk	of	torture	.																								
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	I	O																								
        Se   	siete	detenuti	in   	Cecenia	 ,   	correte	un	reale	e        	immediato                        	rischio	di	tortura	.																										
O	O	O	O	O	O	O	O	O	O	B	I	I	I	O																										
I	can	do	everything	that	Shiva	does	and	therefore	I	am	Shiva	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Posso	fare	tutto	quello	che	fa	Shiva	e	perciò	io	sono	Shiva	 .																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Somehow	,	in	the	confusion	,	I	was	no	longer	holding	my	mother	's	hand	.																									
O	O	O	O	O	O	O	O	O	O	O	B	I	I	I	O																									
In	qualche	modo	,	nella	confusione	,	non	stavo	più	tenendo	la	mano	di	mia	madre	.																								
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	I	O																								
It	is	not	clear	why	Schwarz	did	not	attempt	to	leave	Germany	in	1939	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Non	è	chiaro	il	motivo	per	cui	Schwarz	non	tentò	di	lasciare	la	Germania	1939	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
She	inherited	Knight	's	equipment	and	costume	.																																	
O	O	B	I	I	O	O	O																																	
Ereditò	l'	equipaggiamento	ed	il	costume	di	Knight	.																																
O	O	O	O	O	B	I	I	O																																
Do	not	mourn	for	me	;	I	shall	have	influenced	history	more	than	any	other	German	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
Non	state	in	lutto	per	me	:	io	ho	influenzato	la	storia	più	di	qualsiasi	altro	tedesco	»	.																						
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																						
Maybe	that	's	why	they	'll	be	the	next	real	rebels	.																													
O	O	O	O	O	O	O	O	O	B	I	O																													
Forse	per	questo	motivo	saranno	loro	i	prossimi	veri	ribelli	.																														
O	O	O	O	O	O	O	O	B	I	O																														
The	sweet	sound	of	his	voice	struck	me	!																																
O	B	I	O	O	O	O	O	O																																
Il	dolce	suono	mi	colpì	di	sua	voce	!																																
O	B	I	O	O	O	O	O	O																																
London	,	tales	about	life	in	a	boat	house	.																															
O	O	O	O	O	O	O	B	I	O																															
        Londra 	,	storie	di	vita	in	una	casa	galleggiante	.																															
O	O	B	I	I	O	O	B	I	O																															
Future	institutionalization	could	happen	under	the	influence	of	young	mobile	Europeans	.																													
B	I	O	O	O	O	O	O	B	I	I	O																													
La	futura	istituzionalizzazione	potrebbe	avvenire	sotto	l'	influenza	di	giovani	europei	mobili	.																												
O	B	I	O	O	O	O	O	O	B	I	I	O																												
Note	however	that	or	even	are	used	in	the	South	of	Palestine	.																												
O	O	O	O	O	O	O	O	O	B	I	I	O																												
Da	notare	tuttavia	che	o	persino	sono	utilizzati	nel	sud	della	Palestina	.																												
O	O	O	O	O	O	O	O	O	B	I	I	O																												
It	means	it	's	not	my	fate	,	and	everything	is	the	will	of	God	.																									
O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O																									
Significa	che	non	è	destino	,	tutto	è	la	volontà	di	Dio	.																												
O	O	O	O	O	O	O	O	O	B	I	I	O																												
Each	religion	is	equal	before	God	with	its	own	truth	.																														
O	O	O	O	O	O	O	O	O	I	O																														
Islam	ogni	creazione	è	attribuita	ad	Allah	l'	unico	Dio	per	i	musulmani	.																											
O	O	O	O	O	O	O	O	B	I	O	O	O	O																											
By	June	,	they	had	mixed	it	.																																	
O	O	O	O	O	O	O	O																																	
Entro	giugno	,	l'	avevano	mixato	.																																		
O	O	O	O	O	O	O																																		
Some	politicians	said	crazy	things	on	television	?																																	
O	O	O	B	I	O	O	O																																	
Alcuni	politici	hanno	detto	cose	pazzesche	in	televisione	?																																
O	O	O	O	B	I	O	O	O																																
Only	the	most	modest	of	water	spectacles	could	have	taken	place	here	.																												
O	O	O	O	O	B	I	O	O	B	I	O	O																												
Solamente	il	più	modesto	di	spettacoli	d'	acqua	potrebbe	avere	avuto	luogo	qui	.																											
O	O	O	O	O	B	I	I	O	O	O	O	O	O																											
(	This	criterion	was	recommended	by	the	American	Diabetes	Association	in	2010	,	although	it	has	yet	to	be	adopted	by	the	World	Health	Organization	.	)														
O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	O	O	O	O	O	O	B	I	I	O	O														
(	Questo	criterio	è	stato	raccomandato	dall'	American	Diabetes	Association	2010	,	sebbene	debba	ancora	essere	adottato	dall'	Organizzazione	Mondiale	della	Sanità	.	)																	
O	O	O	O	O	O	O	B	I	I	O	O	O	O	O	O	O	O	B	I	I	I	O	O																	
This	revision	completed	in	the	year	636	.																																	
O	O	O	O	O	O	O	O																																	
Questa	revisione	fu	completata	anno	636	.																																		
O	O	O	O	O	O	O																																		
        There	 's	so	much	to	appreciate	when	it	comes	to	being	an	R5	fan	.																										
O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																										
«	C'	è	così	tanto	da	apprezzare	quando	si	tratta	di	essere	un	fan	R5	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																									
A	message	of	support	was	received	from	Uruguay	.																																
O	B	I	I	O	O	O	O	O																																
Un	messaggio	di	supporto	fu	ricevuto	dall'	Uruguay	.																																
O	B	I	I	O	O	O	O	O																																
These	negotiations	(	Treaty	of	Newport	)	resulted	in	failure	.																														
O	O	O	B	I	I	O	O	O	O	O																														
Questi	negoziati	(	Trattato	di	Newport	)	risultarono	un	fallimento	.																														
O	O	O	B	I	I	O	O	O	O	O																														
I	've	lost	my	little	brother	today	,	and	part	of	my	soul	has	gone	with	him	.																							
O	O	O	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O																							
Ho	perso	il	mio	fratellino	oggi	e	parte	della	mia	anima	è	andata	con	lui	 .																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
His	first	shot	killed	General	Canby	.																																		
O	B	I	O	B	I	O																																		
Il	suo	primo	colpo	uccise	il	Generale	Canby	.																																
O	O	B	I	O	O	B	I	O																																
If	you	are	worthy	,	the	soul	of	this	sage	may	then	come	to	reside	in	your	mouth	.																						
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																						
Se	sei	degno	,	l'	anima	di	questo	saggio	potrà	allora	venire	in	tua	bocca	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
Why	forever	speak	of	total	unity	?																																		
